,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6
F56C9.8,0.0,0.0,0.0,1.2280487,0.0,0.0,0.0
cutl-16,0.4658964,0.0,0.0,0.0,0.0,0.0,0.0
mlc-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gcy-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zig-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ost-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gcy-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
syd-9,0.9317928,0.8692628,0.0,0.0,0.0,0.0,0.0
T19C3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
srsx-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T10G3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nlp-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpl-1,0.0,0.0,0.0,0.0,0.0,1.3491635,0.0
nmgp-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hlh-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grd-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
col-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plin-1,0.4658964,0.8692628,0.0,0.0,0.0,0.0,0.0
tctn-1,0.4658964,0.0,0.0,0.0,0.0,0.0,0.0
let-2,0.0,0.0,0.0,0.0,0.0,0.0,0.9665571
acsd-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mlc-3,0.9317928,0.8692628,0.0,0.0,0.0,0.0,0.0
cutl-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y37D8A.16,0.0,0.0,0.0,0.0,0.0,1.3491635,0.0
sem-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hil-4,29.351473,92.14186,52.18835,38.069508,42.308853,32.379925,49.29441
tmem-231,1.8635856,0.0,0.0,0.0,0.0,0.0,0.0
nlp-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cup-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gst-5,0.0,0.0,0.0,0.0,0.0,1.3491635,0.9665571
cle-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lgc-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
col-166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maoc-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elt-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsp-12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AH9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F53B3.3,0.0,0.0,0.0,1.2280487,0.0,0.0,0.0
abts-1,0.9317928,0.0,3.5582967,2.4560974,0.0,1.3491635,1.9331142
C14B9.2,0.9317928,0.0,0.0,1.2280487,0.0,2.698327,2.8996713
dyf-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C29F5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
set-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deg-1,0.0,0.0,0.0,0.0,0.0,1.3491635,0.0
fbxc-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lec-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C25D7.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lev-11,0.0,0.0,0.0,1.2280487,0.0,0.0,0.0
cpr-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lips-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpdh-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y62F5A.9,3.2612748,3.4770513,2.3721979,1.2280487,0.0,4.0474906,0.9665571
lntl-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hgo-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y22D7AL.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C14A11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cex-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dhs-8,2.3294818,6.9541025,3.5582967,3.684146,0.0,2.698327,5.7993426
F47B10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpz-1,0.0,0.8692628,0.0,0.0,0.0,0.0,0.0
spp-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ftn-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K02F2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odr-2,0.0,1.7385256,0.0,0.0,0.0,1.3491635,0.9665571
R102.2,0.0,0.0,0.0,0.0,0.0,0.0,0.9665571
Y102A11A.9,0.4658964,0.0,0.0,0.0,0.0,0.0,0.0
C01G5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tir-1,4.6589637,0.0,0.0,0.0,0.0,0.0,0.0
lact-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnc-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F57B1.6,0.0,0.8692628,0.0,0.0,0.0,0.0,0.0
ham-1,0.9317928,14.777468,2.3721979,0.0,0.0,1.3491635,0.0
Y52B11A.12,3.2612748,3.4770513,1.1860989,4.9121947,3.0220609,2.698327,0.9665571
ZC443.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpy-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C34D1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F41D9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fkb-4,0.4658964,0.0,0.0,0.0,0.0,0.0,0.0
