,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5
F56C9.8,0.0,0.0,0.0,0.0,0.0,0.0
cutl-16,0.0,0.0,0.0,0.0,0.0,0.0
mlc-1,0.0,0.0,0.0,0.0,0.0,0.0
gcy-33,0.0,0.0,0.0,0.0,0.0,0.0
zig-7,0.0,0.0,0.0,0.0,0.0,0.0
ost-1,0.0,0.0,0.0,0.0,0.0,0.0
gcy-34,0.0,0.0,0.0,0.0,0.0,0.0
syd-9,0.0,0.0,0.0,0.0,0.0,0.0
T19C3.3,0.0,0.0,0.0,0.0,0.0,0.0
srsx-30,0.0,0.0,0.0,0.0,0.0,0.0
T10G3.1,0.0,0.0,0.0,0.0,0.0,0.0
nlp-33,0.0,0.0,0.0,0.0,0.0,0.0
cpl-1,0.0,0.0,0.0,0.0,0.0,0.0
nmgp-1,0.0,0.0,0.0,0.0,0.0,0.0
hlh-1,0.0,0.0,0.0,0.0,0.0,1.5956599
grd-10,0.0,0.0,0.0,0.0,0.0,0.0
col-98,0.0,0.0,0.0,0.0,0.0,0.0
plin-1,0.0,0.0,0.0,0.0,0.0,0.0
tctn-1,0.0,0.0,0.0,2.1276596,0.0,0.0
let-2,0.0,0.0,3.3311129,0.0,0.0,0.0
acsd-1,0.0,0.0,0.0,0.0,0.0,0.0
mlc-3,0.0,1.9080328,3.3311129,0.0,0.0,0.0
cutl-24,0.0,0.0,0.0,0.0,0.0,0.0
Y37D8A.16,0.0,1.9080328,0.0,0.0,0.0,0.0
sem-4,0.0,0.0,0.0,0.0,0.0,0.0
hil-4,5.574136,5.724098,6.6622257,8.510638,0.0,20.743578
tmem-231,0.0,0.0,0.0,0.0,0.0,0.0
nlp-29,0.0,0.0,0.0,0.0,0.0,0.0
cup-16,0.0,0.0,0.0,0.0,0.0,0.0
gst-5,0.0,0.0,0.0,0.0,0.0,0.0
cle-1,0.0,0.0,0.0,0.0,0.0,0.0
lgc-31,0.0,0.0,0.0,0.0,0.0,0.0
col-166,0.0,0.0,0.0,0.0,0.0,0.0
maoc-1,0.0,0.0,0.0,0.0,0.0,0.0
elt-7,0.0,0.0,0.0,0.0,0.0,0.0
hsp-12.3,0.0,0.0,0.0,0.0,0.0,0.0
