,cell_0,cell_1,cell_2,cell_3,cell_4
F56C9.8,0.0,0.0,0.0,0.0,0.0
cutl-16,0.0,0.0,0.0,0.0,0.0
mlc-1,0.0,0.0,0.0,0.0,0.0
gcy-33,0.0,0.0,0.0,0.0,0.0
zig-7,0.0,0.0,0.0,0.0,0.0
ost-1,0.0,0.0,0.0,0.0,0.0
gcy-34,0.0,0.0,0.0,0.0,0.0
syd-9,0.0,0.42997807,0.0,0.0,0.0
T19C3.3,0.0,0.0,0.0,0.0,0.0
srsx-30,0.0,0.0,0.0,0.0,0.0
T10G3.1,0.0,0.42997807,0.0,0.0,0.0
nlp-33,0.0,0.0,0.0,0.0,0.0
cpl-1,0.0,0.0,0.0,0.0,0.0
nmgp-1,0.0,0.0,0.0,0.0,0.88082445
hlh-1,0.0,0.0,0.0,0.0,0.0
grd-10,0.0,0.42997807,0.0,0.0,0.0
col-98,0.0,0.0,0.0,0.0,0.0
plin-1,2.4553938,0.42997807,0.0,1.2963444,0.0
tctn-1,0.0,0.0,0.0,1.2963444,0.0
let-2,0.0,0.0,0.0,1.2963444,0.0
acsd-1,0.0,0.0,0.0,0.0,0.0
mlc-3,0.8184646,0.42997807,0.0,0.0,0.0
cutl-24,0.0,0.0,0.0,0.0,0.0
Y37D8A.16,0.0,0.0,0.0,0.0,0.88082445
sem-4,0.0,0.0,0.0,0.0,0.0
hil-4,61.384842,47.29759,44.11614,50.55743,35.232975
tmem-231,0.0,0.0,0.0,0.0,0.88082445
nlp-29,0.0,0.0,0.0,0.0,0.0
cup-16,0.0,0.0,0.0,0.0,0.0
gst-5,0.0,0.0,0.0,0.0,0.0
cle-1,0.0,0.42997807,0.0,0.0,0.0
lgc-31,0.0,0.42997807,1.0259567,0.0,0.0
col-166,0.0,0.0,0.0,0.0,0.0
maoc-1,0.0,0.42997807,0.0,0.0,0.0
elt-7,0.0,0.0,0.0,0.0,0.0
hsp-12.3,0.0,0.0,0.0,0.0,0.0
AH9.6,0.0,0.0,0.0,0.0,0.0
F53B3.3,0.0,0.42997807,0.0,0.0,0.0
abts-1,3.2738583,2.5798683,3.0778701,2.5926888,0.0
C14B9.2,0.0,0.0,1.0259567,2.5926888,0.0
dyf-1,0.0,0.42997807,0.0,0.0,0.0
C29F5.1,0.0,0.0,0.0,0.0,0.0
set-18,0.0,0.0,0.0,0.0,0.88082445
deg-1,0.0,0.0,0.0,0.0,0.0
fbxc-20,0.0,0.0,0.0,0.0,0.0
lec-3,0.0,0.0,0.0,0.0,0.0
C25D7.15,0.0,0.0,0.0,0.0,0.88082445
lev-11,0.0,0.0,0.0,0.0,0.0
cpr-6,0.0,0.0,0.0,0.0,0.0
lips-10,0.0,0.0,1.0259567,0.0,0.0
gpdh-1,0.0,0.0,0.0,0.0,0.0
Y62F5A.9,0.0,0.0,0.0,1.2963444,0.88082445
lntl-1,0.0,0.0,0.0,0.0,0.0
hgo-1,0.0,0.0,0.0,0.0,0.0
Y22D7AL.6,0.0,0.0,0.0,0.0,0.0
