,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12
F56C9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.114165,1.6683351,1.5817779,0.0,0.0,0.0
cutl-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mlc-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gcy-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5817779,0.0,0.0,0.0
zig-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ost-1,0.0,0.0,0.0,0.0,0.0,0.4668098,0.0,2.114165,0.0,0.0,0.0,0.0,0.0
gcy-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
syd-9,0.0,0.0,0.6360918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3478408,0.945269
T19C3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.58024836,0.0,0.0,0.0,0.0,0.0,0.0
srsx-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T10G3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nlp-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpl-1,0.0,2.1893814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nmgp-1,0.0,1.0946907,0.0,0.0,0.0,0.0,0.0,0.0,3.3366702,0.0,0.0,2.2318938,0.0
hlh-1,0.7526154,0.0,0.0,0.0,0.0,0.4668098,0.58024836,0.0,0.0,0.0,1.5903308,0.0,0.0
grd-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
col-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plin-1,0.7526154,1.0946907,1.2721837,0.0,0.0,0.9336196,0.0,2.114165,0.0,0.0,0.0,1.1159469,1.890538
tctn-1,0.0,0.0,0.0,0.0,0.0,0.4668098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
let-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acsd-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mlc-3,0.7526154,0.0,0.0,2.6975992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1159469,0.945269
cutl-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y37D8A.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2318938,0.945269
sem-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1635559,0.0,0.0,0.0
hil-4,39.888615,25.177887,42.618153,64.74238,50.981873,34.077118,60.34583,48.625793,33.3667,39.54445,25.445293,49.101665,37.81076
tmem-231,0.0,0.0,0.6360918,0.0,0.0,0.0,0.0,0.0,1.6683351,0.0,0.0,0.0,0.0
nlp-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cup-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gst-5,0.0,0.0,0.6360918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2318938,0.0
cle-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lgc-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
col-166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maoc-1,0.0,0.0,0.6360918,0.0,0.0,0.0,1.7407451,0.0,0.0,0.0,0.0,0.0,0.0
elt-7,0.7526154,0.0,0.6360918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsp-12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AH9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F53B3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abts-1,3.0104616,2.1893814,2.5443673,5.3951983,0.0,2.3340492,0.58024836,0.0,1.6683351,0.0,0.0,0.0,4.726345
C14B9.2,0.7526154,0.0,0.0,0.0,0.0,0.9336196,2.3209934,2.114165,0.0,1.5817779,1.5903308,0.0,0.0
dyf-1,0.0,0.0,0.0,0.0,0.0,0.4668098,0.0,0.0,0.0,1.5817779,0.0,0.0,0.0
C29F5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1159469,0.0
set-18,0.0,0.0,0.0,2.6975992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deg-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fbxc-20,0.0,0.0,0.0,0.0,11.329305,0.4668098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lec-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C25D7.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lev-11,0.7526154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5903308,1.1159469,0.945269
cpr-6,0.0,0.0,0.0,0.0,0.0,0.0,0.58024836,0.0,0.0,0.0,0.0,0.0,0.0
lips-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpdh-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y62F5A.9,0.7526154,0.0,0.6360918,0.0,0.0,0.9336196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lntl-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3366702,3.1635559,0.0,0.0,0.0
hgo-1,0.0,0.0,0.0,2.6975992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y22D7AL.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C14A11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cex-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dhs-8,1.5052308,0.0,0.6360918,0.0,3.776435,5.601718,0.0,0.0,1.6683351,0.0,0.0,0.0,5.6716137
F47B10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpz-1,0.0,0.0,0.0,0.0,0.0,0.4668098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spp-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ftn-2,0.0,0.0,0.0,0.0,0.0,0.4668098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K02F2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1159469,0.0
