Lineage,Parent,Child,Length
ABar,ABar,ABarp,0.0733
ABar,ABar,ABara,0.0733
ABar,ABarp,ABarpp-,0.7965
ABar,ABarp,ABarpa,0.1
ABar,ABara,ABarap-,0.8798
ABar,ABara,ABaraa,0.1
ABar,ABarpa,ABarpapa-,0.6649
ABar,ABaraap,ABaraapp-,0.6873
ABar,ABarpa,ABarpapp-,0.42
ABar,ABaraap,ABaraapaa-,0.4769
ABar,ABaraa,ABaraaa-,0.7169
ABar,ABaraa,ABaraap,0.0967
ABpr,ABprp,ABprppa-,0.7592
ABpr,ABprp,ABprpa,0.1
ABpr,ABpra,ABprap,0.1967
ABpr,ABpra,ABpraa-,0.767
ABpr,ABpr,ABprp,0.0733
ABpr,ABpr,ABpra,0.0733
ABpr,ABprpa,ABprpap-,0.6253
ABpr,ABprpa,ABprpaa-,0.633
ABpr,ABprap,ABprappa-,0.2426
ABpr,ABprap,ABprapa-,0.8089
ABal,ABal,ABalp,0.0629
ABal,ABal,ABala,0.0629
ABal,ABalp,ABalpp-,0.8695
ABal,ABalp,ABalpa-,0.7234
ABal,ABala,ABalap-,0.8012
ABal,ABala,ABalaa-,0.7751
ABpl,ABpl,ABplp,0.0733
ABpl,ABpl,ABpla,0.0733
ABpl,ABplp,ABplpppp-,0.7103
ABpl,ABplp,ABplpa,0.1
ABpl,ABpla,ABplapp,0.1967
ABpl,ABpla,ABplapap-,1.0437
ABpl,ABplpa,ABplpap-,0.6628
ABpl,ABplpa,ABplpaa-,0.8768
ABpl,ABplapp,ABplappp-,0.6665
ABpl,ABplapp,ABplappa-,0.2409
EMS,EMS,MS,0.06
EMS,EMS,E,0.076
EMS,MS,MSp-,0.6659
EMS,MS,MSa-,0.7111
EMS,E,Ep-,0.5563
EMS,E,Ea-,0.5643
P2,P2,D-,0.7063
P2,P2,C,0.08
P2,C,hyp,0.5278
P2,C,body_muscle,0.5599
